PartNo,Price
10C-F834E-00,0.01
10C-F8371-00,0.01
10C-F8415-00,0.83
10C-F8415-10,0.67
1S8-F139R-00,0.56
1S8-F1717-00,0.53
1S8-F1746-00,0.57
1S8-F622G-00,0.56
2JG-F139R-00,0.53
2P3-F6113-00,0.52
2P3-F622F-00,0.73
31D-E4452-00,1.5
31D-E4462-00,1.35
44P-F4747-00,1.19
44P-H2176-00,0.62
5D9-H2126-00,0.55
5LL-F6113-00,0.51
5LL-F8371-00,0.54
5LW-F7414-00,0.78
5P2-E5326-00,0.73
5P2-E5337-00,0.52
5P2-E5338-00,0.58
5P2-F4724-00,0.53
5P2-F476U-00,0.53
5P2-H2176-00,0.61
5P2-H252R-00,0.55
5PV-F8371-00,0.59
5TF-F139R-00,0.53
5TF-F139X-00,0.63
90520-02803,0.62
90520-02807,0.6
90520-02813,0.53
90520-02818,0.63
90520-02819,0.51
90520-02825,0.51
90520-03801,0.52
90520-03802,0.6
90520-03803,0.54
90520-04804,0.53
90520-04805,0.54
90520-04806,0.52
90520-04809-L,0.54
90520-04813,0.1
90520-05812,0.51
90520-05813,0.64
90520-05815-L,0.52
90520-06807,0.53
90520-06821-L,0.96
90520-08800,0.51
90520-08804,0.58
90520-08809,0.64
90520-20002,0.54
90520-20803,0.73
90520-20811,0.6
90520-20814,0.69
90520-96802,0.53
BBY-H2126-00,0.56
2JG-H5540-00,22.5
3XL-H5540-M0,31
3YR-H5540-20,24.5
4US-H4120-10,8.8
4VH-H4120-DM,10.5
4VK-H5540-20,31
5BU-H430A-10,9.4
10C-F6311-00,8.33
10C-F6331-00,6.45
10C-H3550-00,7.22
1S8-F478E-00,1.53
1S8-F6301-00,9.86
1S8-F6331-00,4.7
1VB-F478E-00,16.92
1VB-F6301-00,31.36
1VB-F6351-00,17.04
1VB-H3550-00,8.68
1VP-F478E-00,6.74
1VP-F6301-00,20.23
1VP-H3550-00,10.47
21S-F6335-00,3.83
29B-F478E-00,5.81
29B-F6311-00,6.53
29B-F6335-00,7.3
29B-H3550-00,8.34
2BR-F6301-00,29
2BR-H3550-00,9.18
2P3-F5304-00,6.23
2P3-F5396-00,0.14
2P3-F5397-00,0.14
2P3-F6311-00,3.53
2P3-H3550-00,3.71
31D-F478E-00,7.41
31D-F6311-00,8.55
31D-F6331-00,1.8
31D-H3550-00,7.69
3XL-F6311-00,3.9
3XL-F6321-00,3.2
3XL-F6335-00,18.62
3XL-H3560-00,10.63
44P-F478E-00,13.92
44P-F478E-01,13.41
44P-F6301-00,29.08
44P-F6351-00,15.31
44P-H3550-00,4.2
55C-F478E-00,1.65
55C-F478E-10,6.25
55C-F6301-00,18.03
55C-F6301-10,23.4
55C-F6331-00,2.97
55C-F6331-10,6.73
55C-F6335-10,8.05
55C-H3550-10,10.57
5BU-F5104-00,5.8
5BU-F5196-00,0.1
5BU-F5197-00,0.1
5BU-F6260-00,18.54
5BU-F6311-00,2.98
5BU-F6312-00,1.35
5BU-F6321-00,3.3
5BU-F6331-00,8.39
5BU-F6335-00,3.82
5BU-H3550-00,7.62
5H3-F5195-00,0.05
5H3-F5196-00,0.1
5H3-F5197-00,0.1
5LW-F478E-00,7.38
5LW-F6311-00,5.58
5LW-F6311-02,14.17
5LW-F6311-20,6.18
5LW-F6331-00,2.35
5LW-F6331-10,2.65
5LW-F6331-20,2.23
5LW-F6351-00,14.31
5LW-F6351-20,6.93
5LW-H3550-00,4.83
5P2-F478E-00,4.52
5P2-F478E-01-22,4.86
5P2-F6301-00,20.72
5P2-F6351-00,15.35
5PV-F6260-01,9.83
5PV-F6312-00,1.2
5TF-F6311-00,7.34
5TF-F6331-00,1.41
5TF-H3550-00,4.2
5VW-F478E-00,3.52
5VW-F6311-00,5.17
5VW-F6331-00,2.42
5VW-F6351-00,7.45
5VW-H3550-00,4.22
5XK-F6261-00,0.25
5XK-H3550-00,9.94
5XK-H3560-00,11.61
B17-F478E-00,8.99
B17-F6301-00,17.16
B17-F6301-10,16.2
B17-F6335-00,7.89
B45-F6341-00,7.56
BAX-F478E-00,4
BAX-F6301-00,11.9
BAX-F6335-00,8.41
BBY-F6301-00,7.98
BES-F470F-00,21.82
BES-F4730-00,63.29
BES-F6301-00,25.74
BF4-F478E-00,12.03
BF4-F6301-00,40.83
10C-F470F-00,14.6
10C-F4730-00,31.09
1S8-F470F-00,13.8
1S8-F4730-00,36.42
1S8-F6199-00,0.12
1VB-F470F-00,19.8
1VB-F4730-00,34.15
1VB-F4741-00,0.38
1VP-F470F-00,18.5
1VP-F4730-00,33.94
2P3-F470F-00,15.8
31D-F470F-00,15.2
44P-F470F-00,16.6
44P-F4730-00,36.94
4VH-F4730-00,28.6
55C-F470F-00,17.4
55C-F470F-10,17.4
55C-F4730-00,38.4
55C-F4730-10,38.4
55C-F4730-20,38.4
55D-F470F-00,17.4
55D-F4730-00,38.4
5LL-F470F-00,16.9
5LW-F470F-00,13.2
5LW-F470F-10,13.2
5P2-F470F-00,16.57
5P2-F470F-10,18.5
5P2-F470F-20,18.5
5P2-F4730-00,34.93
5P2-F4730-10,34.93
5P2-F4730-20,34.93
5P2-F4730-30,35.05
5PV-F4730-00,32.52
5PV-F4731-00,18.2
5TF-F4730-00,26.31
5VW-F470F-10,17.2
5VW-F4730-00,27.21
5VW-F4730-10,27.21
5XK-F470F-00,18.6
5XK-F4730-00,32.72
B17-F470F-00,18.9
B17-F470F-10,18.9
B17-F470F-20,18.9
B17-F4730-00,30.31
B17-F4730-10,33.53
